movieId,title,timestamp,number of rating
1,Toy Story (1995),997938310,33
1,Toy Story (1995),1148729853,33
1,Toy Story (1995),944943070,33
1,Toy Story (1995),1318796720,33
1,Toy Story (1995),1467004817,33
1,Toy Story (1995),1303464840,33
1,Toy Story (1995),913048158,33
1,Toy Story (1995),1218405007,33
1,Toy Story (1995),1462637445,33
1,Toy Story (1995),955088635,33
1,Toy Story (1995),1433898798,33
1,Toy Story (1995),1047071649,33
1,Toy Story (1995),956083012,33
1,Toy Story (1995),898007830,33
1,Toy Story (1995),1112268707,33
1,Toy Story (1995),957480017,33
1,Toy Story (1995),1048092869,33
1,Toy Story (1995),1133735252,33
1,Toy Story (1995),1471386200,33
1,Toy Story (1995),1090907386,33
1,Toy Story (1995),1296195523,33
1,Toy Story (1995),939004597,33
1,Toy Story (1995),1446908358,33
1,Toy Story (1995),939329344,33
1,Toy Story (1995),945369114,33
1,Toy Story (1995),959965342,33
1,Toy Story (1995),1053173138,33
1,Toy Story (1995),974712079,33
1,Toy Story (1995),1012595781,33
1,Toy Story (1995),1155616380,33
1,Toy Story (1995),1019126661,33
1,Toy Story (1995),1145390085,33
1,Toy Story (1995),1362421730,33
2,Jumanji (1995),1134521380,17
2,Jumanji (1995),945277634,17
2,Jumanji (1995),1322169967,17
2,Jumanji (1995),1255595527,17
2,Jumanji (1995),913051445,17
2,Jumanji (1995),1218404003,17
2,Jumanji (1995),1462637790,17
2,Jumanji (1995),1434331477,17
2,Jumanji (1995),939716745,17
2,Jumanji (1995),1114172641,17
2,Jumanji (1995),1296195941,17
2,Jumanji (1995),945362514,17
2,Jumanji (1995),974839862,17
2,Jumanji (1995),1012598088,17
2,Jumanji (1995),1165900696,17
2,Jumanji (1995),1019125424,17
2,Jumanji (1995),1145389613,17
3,Grumpier Old Men (1995),957479796,7
3,Grumpier Old Men (1995),976423199,7
3,Grumpier Old Men (1995),1471385241,7
3,Grumpier Old Men (1995),1296196738,7
3,Grumpier Old Men (1995),946276711,7
3,Grumpier Old Men (1995),974838162,7
3,Grumpier Old Men (1995),1019128536,7
4,Waiting to Exhale (1995),1090908852,2
4,Waiting to Exhale (1995),945365209,2
5,Father of the Bride Part II (1995),1093070098,11
5,Father of the Bride Part II (1995),1218955060,11
5,Father of the Bride Part II (1995),1062619499,11
5,Father of the Bride Part II (1995),956082033,11
5,Father of the Bride Part II (1995),957795334,11
5,Father of the Bride Part II (1995),976422557,11
5,Father of the Bride Part II (1995),1471385747,11
5,Father of the Bride Part II (1995),945364959,11
5,Father of the Bride Part II (1995),974837992,11
5,Father of the Bride Part II (1995),1019128415,11
5,Father of the Bride Part II (1995),1145392131,11
6,Heat (1995),1040205753,20
6,Heat (1995),1148730128,20
6,Heat (1995),945276746,20
